ItemName,ItemCode,Quantity
Solar Water Heater System-I 250 lir,Q20002,2
Solar Water Heater System-1500 ltrs,Q20003,3
Solar Water Heater System-2000 ltrs,Q20004,9
Solar Water Heater System-2500 ltrs,Q20005,3
Solar water heater system 300 LPD,Q20006,1
Vaccum Cleaner Eureka Forbes,Q21001,4
Raw Water Pump,Q22001,4
Relift Pump for domestic water to OH Tank,Q22002,4
Garden Hydrant Pump,Q22003,2
Main Eire Pump,Q22004,1
Fire Jockey Pump,Q22005,1
AIR Vessel for fire pump,Q22006,1
Pressure Filtre ( D W),Q22007,1
Water Softener,Q22008,3
Motor Control Centre Panel,Q22009,1
Motor pump controller,Q22010,5
Earthing Station,Q22011,0
Chlorination Equipments,Q22012,1
"Motor Control Centre Panel-B  izaia,",Q22013,1
Raw Sewage Relift pump,Q22014,4
Air Blower,Q22015,4
Air Diffuser,Q22016,0
Filter Feed Pump,Q22017,2
Sludge Return Pump,Q22018,2
Sludge Loading Pump,Q22019,2
Pressure Sand Filter,Q22020,1
Activated Carbon Filter,Q22021,1
Dosing System,Q22022,2
Garden Supply Pumps,Q22023,2
Bar screen,Q22024,0
Salt charging plant,Q22025,0
Chlorine tank,Q22026,0
Submersible Solar Pump with Solar Module,Q22027,1
Sign Boards,Q23001,0
Hydrocalute ,Q24001,1
Computerised Ifct Dlx,Q24002,1
Micro Processor Controlled Ultrasound Therapy,Q24003,1
Thermostate ,Q24004,1
Shortywave Diatherapy,Q24005,1
Medical Screen,Q24006,1
BPL ECG Machine ,Q24007,1
Patient Examination Table ,Q24008,2
Mechanical Medcial Bed,Q24009,2
Rolling Patient Stool ,Q24010,1
Autoclave Single Drum Cooker,Q24011,1
Double Swing,Q25001,1
Jungle Gim,Q25002,1
Slide & Ladder,Q25003,1
See Saw,Q25004,1
Bench,Q25005,2
Climber,Q25006,1
Loop Ring,Q25007,1
Ford car,V01001,1
Ambulance (Maruti Omni White),V01002,2
Duster Car,V01003,1
Kinetic Nova,V02001,1
Rickshaw,V03001,3
Cycle,V03002,4
Garbage Electroc Loader (E-Rickshaw),V03003,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
