ItemName,ItemCode,Quantity
DTH Set top box,E01011,21
Electric Kettle,E01013,44
Emergency Light,E01015,20
Exhaust Fans,E01016,377
Finger Print Reader,E01017,30
Lamination Machine,E01023,1
LCD Multimedia Projector,E01024,43
Microwave Oven,E01026,5
Mini Magic Plus Water Dispenser,E01027,5
Pedestal Fans,E01029,17
Projected Remote screen,E01030,11
Projector screen,E01032,36
Refrigerator LG GL-185GP4,E01034,2
Refrigerator LG GL-244GP4,E01035,1
Refrigerator LG GL-478YTX4,E01036,1
Refrigerator 1..G RAI8XIIMG,E01037,1
Refrigerator Videocon,E01038,8
Refrigerator whirlpool Model 220LH,E01039,1
Refrigerator Whirlpool,E01040,1
Room Heat CONVECTOR,E01041,158
Wall Fan,E01043,139
Water Cooler,E01044,102
WATER HEATER INSTANT 1 LTR,E01045,1
Geyser 50 Ltr.,E01046,92
Geyser 10 Ltr.,E01047,50
Geyser 25 Ltr.,E01048,137
Geyser 6 Ltr.,E01049,42
"Tea, Coffee and soup triple option machine",E01051,0
Refrigerator Voltas,E01053,1
Bar Code Reader,E01054,2
Student Card Reader/ Attendence Machine,E01055,46
RFID Book Reader,E01056,1
RFID Thief Detection System,E01057,1
CCTV Camera,E01058,106
Digital Video Recorder,E01059,22
Access Control Key Pad,E01060,2
Biometric System,E01061,1
Geyser 15 Ltr,E01062,77
Refrigerator(Kelivinator),E01063,7
Refrigerator LG-GL 254VH G4,E01064,1
Camera Vaddio,E01065,2
Wacom,E01066,1
Samsung Document Camera,E01067,1
Touch Panel Extron,E01068,1
VC Cisco,E01069,1
HDMI Display Converter,E01070,2
Room Oil Heater,E01071,15
Smart Board,E01072,1
Washing Machine IFB,E01073,2
Elevator,E01074,5
Inverter,E01075,13
Food Processor,E01076,1
Wall Mounting Air Circular Fan,E01077,4
Day/Night IP Camera,E01078,2
Eyris Device,E01079,2
Eye Sight Document Scanner,E01080,2
Down Light Fixture 250 Watt,E01081,25
 Pug Without  Track,E01082,1
CPRA 800(s) Power Source,E01083,1
Warrior 400i cc/cv,E01084,1
Saw Tractor ,E01085,1
Garbage Machine ,E01086,1
Refrigerator LG GL-I292RPZL ,E01087,2
Cabin Fan / Lift Fan,E01088,2
Face Reader Machine,E01089,1
Air Quality Monitor,E01090,1
Alchohal Tester Analyzer Breathalyzer,E01091,4
Pendulam Jigsaw ,E01092,1
Writing Pad & Sylus,E01093,1
70 W LED Highbay 5000K ,E01094,64
Washin Machine LG,E01095,3
Induction Stove,E01096,7
Test Rig on Boiling Heat Transfer (Research Setup),E01097,1
Bio Gas Meter,E01098,1
Turbidity Meter,E01099,1
Deisel Injector Tester,E01100,1
